No.,Time,Source,Destination,Protocol,Length,Info,TTL,Flags,DSCP,LEN
1,0,192.168.1.93,159.124.21.96,TCP,74,45230  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1495220937 TSecr=0 WS=128,64,0x2,0x00,60
2,0.081464633,159.124.21.96,192.168.1.93,TCP,74,"443  >  45230 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4109506945 TSecr=1495220937 WS=128",45,0x2,0x00,60
3,0.089141801,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1495221022 TSecr=4109506945,64,0x2,0x00,52
4,0.100092812,192.168.1.93,159.124.21.96,TLSv1.3,583,Client Hello (SNI=zoomams1591242196rwg.ams.zoom.us),64,0x2,0x00,569
5,0.235067641,159.124.21.96,192.168.1.93,TCP,66,443  >  45230 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=4109507087 TSecr=1495221037,45,0x2,0x00,52
6,0.23506798,159.124.21.96,192.168.1.93,TLSv1.3,2962,"Server Hello, Change Cipher Spec, Application Data",45,0x2,0x00,2948
7,0.235068001,159.124.21.96,192.168.1.93,TLSv1.3,1266,Continuation Data,45,0x2,0x00,1252
8,0.235068089,159.124.21.96,192.168.1.93,TLSv1.3,466,Continuation Data,45,0x2,0x00,452
9,0.236492796,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=518 Ack=2897 Win=69888 Len=0 TSval=1495221172 TSecr=4109507087,64,0x2,0x00,52
10,0.236675065,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=518 Ack=4097 Win=72832 Len=0 TSval=1495221174 TSecr=4109507087,64,0x2,0x00,52
11,0.236762009,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=518 Ack=4497 Win=75776 Len=0 TSval=1495221174 TSecr=4109507088,64,0x2,0x00,52
12,0.258854296,192.168.1.93,159.124.21.96,TLSv1.3,146,"Change Cipher Spec, Application Data",64,0x2,0x00,132
13,0.262655924,192.168.1.93,159.124.21.96,TLSv1.3,2962,,64,0x2,0x00,2948
14,0.263280913,192.168.1.93,159.124.21.96,TLSv1.3,1917,Continuation Data,64,0x2,0x00,1903
15,0.353665162,159.124.21.96,192.168.1.93,TCP,66,443  >  45230 [ACK] Seq=4497 Ack=2046 Win=64128 Len=0 TSval=4109507223 TSecr=1495221196,45,0x2,0x00,52
16,0.354516049,159.124.21.96,192.168.1.93,TCP,66,443  >  45230 [ACK] Seq=4497 Ack=4942 Win=64128 Len=0 TSval=4109507223 TSecr=1495221200,45,0x2,0x00,52
17,0.354516233,159.124.21.96,192.168.1.93,TLSv1.3,145,Application Data,45,0x2,0x00,131
18,0.354516254,159.124.21.96,192.168.1.93,TLSv1.3,145,Application Data,45,0x2,0x00,131
19,0.362389085,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=5345 Ack=4655 Win=75776 Len=0 TSval=1495221300 TSecr=4109507223,64,0x2,0x00,52
20,0.419294889,159.124.21.96,192.168.1.93,TLSv1.3,533,Application Data,45,0x2,0x00,519
21,0.419295507,159.124.21.96,192.168.1.93,TLSv1.3,831,Application Data,45,0x2,0x00,817
22,0.459465811,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=5345 Ack=5887 Win=81536 Len=0 TSval=1495221397 TSecr=4109507270,64,0x2,0x00,52
23,0.536909033,192.168.1.93,159.124.21.96,TLSv1.3,111,Application Data,64,0x2,0x00,97
24,0.652385941,159.124.21.96,192.168.1.93,TLSv1.3,107,Application Data,45,0x2,0x00,93
25,0.652512647,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=5390 Ack=5928 Win=81536 Len=0 TSval=1495221590 TSecr=4109507513,64,0x2,0x00,52
26,1.352307859,192.168.1.93,159.124.21.96,TLSv1.3,713,Application Data,64,0x2,0x00,699
27,1.352760497,192.168.1.93,159.124.21.96,TLSv1.3,713,Application Data,64,0x2,0x00,699
28,1.429566632,159.124.21.96,192.168.1.93,TCP,66,443  >  45230 [ACK] Seq=5928 Ack=6684 Win=64128 Len=0 TSval=4109508299 TSecr=1495222289,45,0x2,0x00,52
29,1.429566972,159.124.21.96,192.168.1.93,TLSv1.3,807,Application Data,45,0x2,0x00,793
30,1.429636657,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=6684 Ack=6669 Win=84480 Len=0 TSval=1495222367 TSecr=4109508299,64,0x2,0x00,52
31,1.451885388,159.124.21.96,192.168.1.93,TLSv1.3,808,Application Data,45,0x2,0x00,794
32,1.451907778,192.168.1.93,159.124.21.96,TCP,66,45230  >  443 [ACK] Seq=6684 Ack=7411 Win=87296 Len=0 TSval=1495222389 TSecr=4109508319,64,0x2,0x00,52
33,1.465770533,192.168.1.93,159.124.21.96,STUN,198,Binding Request user: 4D4E1327-1ADF-8C9D-33B1-B59FB236C0B7:4541BB66-D689-8DE7-07EF-2C88144219B5,64,0x2,0x00,184
34,1.541915553,159.124.21.96,192.168.1.93,STUN,106,Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466,44,0x2,0x00,92
35,1.543359929,192.168.1.93,159.124.21.96,STUN,198,Binding Request user: 4D4E1327-1ADF-8C9D-33B1-B59FB236C0B7:4541BB66-D689-8DE7-07EF-2C88144219B5,64,0x2,0x00,184
36,1.543942677,192.168.1.93,159.124.21.96,DTLSv1.2,231,Client Hello,64,0x2,0x00,217
37,1.582269058,192.168.1.93,159.124.21.96,STUN,198,Binding Request user: 6F4AA7FD-78DF-FCC4-F05B-958B6A09AE9D:4541BB66-D689-8DE7-07EF-2C88144219B5,64,0x2,0x00,184
38,1.601655268,192.168.1.93,159.124.21.96,DTLSv1.2,231,Client Hello,64,0x2,0x00,217
39,1.614033586,159.124.21.96,192.168.1.93,STUN,106,Binding Success Response XOR-MAPPED-ADDRESS: 5.29.51.201:8466,44,0x2,0x00,92
40,1.61403383,159.124.21.96,192.168.1.93,DTLSv1.2,1094,"Server Hello, Certificate (Fragment)",44,0x2,0x00,1080
